project`tpath`tsize`tfirstline
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Insta Signer\scripts\Sinister_Insta_StartPanel.ps1	3287	# Sinister Insta â€” one-click panel boot.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\scripts\fix_phone.ps1	3442	# fix_phone.ps1 â€” One-command phone recovery.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\scripts\phone-prep.ps1	7682	# phone-prep.ps1 â€” put 26031JEGR17598 into "ready for manual signup" state
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\health-check.ps1	2606	# Quick health check â€” run any time to see "is my fleet actually working?"
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\run-server.ps1	1062	# Sinister RKA â€” PowerShell launcher (T: layout, Android Studio JBR, fleet-mod
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\server-watchdog.ps1	3359	# Keeps server-java running + detects public IP changes + writes state.json.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\test-keybox.ps1	8096	# Sinister RKA â€” on-phone keybox probe (TrickyStore + TrickyAddon fallback pat
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\update-phone-config.ps1	2434	# Update Sinister RKA config on one or more connected phones.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\scripts\when-user-returns.ps1	6580	# Sinister RKA -- one-shot setup script to run when the user returns.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\Sinister RKA Module\source\update-phone-config.ps1	2434	# Update Sinister RKA config on one or more connected phones.
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Sinister RKA\Sinister RKA Module\source\server-java\health-check.ps1	2606	# Quick health check â€” run any time to see "is my fleet actually working?"
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\cleanup-phone.ps1	599	# Cleanup Phone Script
library-of-alexandria	C:\Users\Zonia\Desktop\Sinister Library Of Alexandria\Snap Chat notes\Snap Protos\snapchat-api\configure-zygisk-multiapp.ps1	1519	# Configure ZygiskFrida for Multiple Apps (Snapchat + Duck Detector)
